Complex ID Num,Structure Number,Area Code,Block Number,Structure Name,Production Month,Producing Wells,Oil Rate (BPD),Gas Rate (MCFPD),Oil Equivalent Rate (BPD),Water Rate (BPD),Lease Number,Operator Name,Operator Number,Install Date,Removal Date,Region
1,1,BP, 6562,NORTHSTAR,12/31/2025,18,"4,814","628,591","116,663","12,674",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,11/30/2025,19,"4,788","596,645","110,952","12,895",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,10/31/2025,17,"4,885","570,053","106,318","13,366",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,9/30/2025,19,"3,877","383,140","72,051","11,087",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,8/31/2025,19,"3,662","422,366","78,816",808,Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,7/31/2025,18,"4,632","543,418","101,326","13,002",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,6/30/2025,17,"4,812","552,123","103,054","12,367",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,5/31/2025,19,"4,719","577,050","107,397","12,895",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,4/30/2025,17,"5,053","613,494","114,215","12,680",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,3/31/2025,18,"5,182","611,771","114,038","13,581",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,2/28/2025,17,"5,276","630,863","117,529","13,582",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,1/31/2025,17,"5,198","603,774","112,631","12,522",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,12/31/2024,17,"5,410","625,946","116,789","13,488",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,11/30/2024,17,"5,335","603,594","112,736","13,187",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,10/31/2024,15,"5,233","566,293","105,997","13,128",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,9/30/2024,15,"5,160","537,901","100,871","13,415",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,8/31/2024,17,"3,996","439,193","82,145","10,642",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,7/31/2024,17,"4,985","546,277","102,187","12,873",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,6/30/2024,16,"5,300","559,863","104,920","13,194",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,5/31/2024,16,"5,315","575,681","107,749","13,142",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,4/30/2024,17,"5,511","613,725","114,715","13,644",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,3/31/2024,17,"5,363","609,530","113,821","13,807",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,2/29/2024,17,"5,496","617,592","115,388","13,732",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,1/31/2024,17,"5,698","629,714","117,746","13,759",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,12/31/2023,19,"5,971","627,277","117,586","15,242",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,11/30/2023,17,"5,722","600,109","112,503","14,641",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,10/31/2023,16,"5,670","578,132","108,540","14,502",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,9/30/2023,17,"5,315","538,397","101,115","14,025",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,8/31/2023,14,"4,145","398,690","75,086","11,977",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,7/31/2023,15,"5,377","533,726","100,346","16,048",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,6/30/2023,15,"5,859","546,119","103,033","14,573",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,5/31/2023,17,"6,186","554,260","104,809","13,650",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,4/30/2023,17,"6,628","612,330","115,583","15,079",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,3/31/2023,17,"6,572","594,894","112,425","14,602",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,2/28/2023,19,"6,835","605,335","114,546","14,313",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,1/31/2023,18,"6,924","610,215","115,503","14,494",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,12/31/2022,17,"6,969","596,910","113,181","14,182",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,11/30/2022,16,"7,028","574,224","109,203","14,145",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,10/31/2022,16,"6,965","553,513","105,455","14,165",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,9/30/2022,16,"6,919","530,937","101,392","14,328",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,8/31/2022,17,"4,955","377,310","72,092","10,515",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,7/31/2022,17,"6,903","508,841","97,444","13,932",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,6/30/2022,16,"6,996","522,060","99,889","13,912",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,5/31/2022,17,"7,218","534,812","102,380","13,922",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,4/30/2022,17,"7,760","586,647","112,145","14,219",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,3/31/2022,17,"7,965","602,949","115,252","14,122",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,2/28/2022,17,"8,109","603,450","115,484","14,266",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,1/31/2022,17,"8,348","606,976","116,351","14,248",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,12/31/2021,17,"8,310","594,531","114,099","13,945",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,11/30/2021,15,"8,402","580,087","111,620","13,822",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
1,1,BP, 6562,NORTHSTAR,10/31/2021,16,"8,279","535,378","103,542","13,634",Y00181,"Hilcorp Alaska, LLC",03361,6/1/2000,,Alaska
